actor,V,A,D,N,lambda,SRM_canonical,SRM_optimized,P_t_baseline,locked_utc
RO_AUR,0.75,0.21,0.652,0.83,38.2,0.0,0.051768,38.2,2026-06-10T18:00:00Z
RO_PSD,0.52,0.19,0.617,0.71,6.57,0.021617,0.039534,17.5,2026-06-10T18:00:00Z
RO_PNL,0.58,0.2,0.629,0.74,7.01,0.019946,0.042174,20.3,2026-06-10T18:00:00Z
RO_USR,0.43,0.17,0.66,0.62,8.5,0.007006,0.028324,10.0,2026-06-10T18:00:00Z
RO_UDMR,0.22,0.12,0.597,0.48,2.31,0.020203,0.015218,5.0,2026-06-10T18:00:00Z
RO_TOMAC,0.38,0.25,0.72,0.58,4.2,0.00362,0.008823,,2026-06-10T18:00:00Z
