actor,type,alpha,beta,alpha_ci_lo,alpha_ci_hi,beta_ci_lo,beta_ci_hi,rmse,r2_dim0,r2_dim1,n_periods
AUR,populist,0.3733,0.0316,0.3635,0.8259,0.0052,0.049,0.0163,0.161,-0.084,12
PSD,institutional,0.2279,-0.0231,0.2063,0.3561,-0.043,0.0104,0.0119,0.51,0.091,12
PNL,institutional,0.1329,-0.0282,0.0263,0.7712,-0.0734,0.0208,0.0152,-0.388,0.04,12
USR,institutional,0.5056,0.0341,0.277,1.0,-0.022,0.0629,0.0127,-0.53,0.226,12
Georgescu,populist,0.8735,-0.0052,0.4953,1.0,-0.0528,0.0632,0.0267,0.061,0.21,12
